CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000136268,136268,SUPERMERCADO EL INGENIO,PRINCIPAL INGENIO NUEVO,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,INGENIO NUEVO,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.37039,-70.13355,450 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005286,Ultima Aprobada,Elegible,18.36973757,-70.13517514,18.36973757-70.13517514,ELEGIBLE,NO,S,S1,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000136268,,1.0,ARILEYSIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Bronce,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000141289,141289,LOS 7 CHANGOS,EUGENIO MONTAZ MADRE VIEJA NORTE,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,MADRE VIEJA DEL NORTE,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.41513443,-70.10374451,445 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005369,Sin Visita,Elegible,18.41513443,-70.10374451,18.41513443-70.10374451,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000141289,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000164420,164420,COMERCIAL LA GRAN PARADA,PADRE AYALA,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,446,RANDY DELGADO,RANDY DELGADO,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.41607,-70.10959,446 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005755,Sin Visita,Elegible,18.41607,-70.10959,18.41607-70.10959,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000164420,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034644,34644,COL. MIRADOR SUR,C/ GRAL. LEGER Ñ 151,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.420957837786,-70.1124027797154,450 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005843,Ultima Aprobada,Elegible,18.42103956732899,-70.11236814782023,18.421039567329-70.1123681478202,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000034644,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000034930,34930,COL. CHAVELA,BUEN PASTOR 20,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,447,JUAN DE LOS SANTOS,JUAN DE LOS SANTOS,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.38199234,-70.15309143,447 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004152,Sin Visita Efectiva,Elegible,18.38199234,-70.15309143,18.38199234-70.15309143,ELEGIBLE,NO,S,S1,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000034930,,2.0,ARILEYSIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000035689,35689,COL. LA CHINA,"CALLE PRIMERA 45 , EL POMIEL",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,449,CECILIO RODRIGUEZ CORPORAN,CECILIO RODRIGUEZ CORPORAN,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4627316792806,-70.1366322835286,449 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004455,Ultima Aprobada,Elegible,18.46281865,-70.13677685,18.46281865-70.13677685,ELEGIBLE,NO,S,S PANEL,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000035689,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034934,34934,COL. SUPER FACIL,CARRETERA PALENQUE KM 4,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,444,FAUSTO BRITO,FAUSTO BRITO,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.3833940029144,-70.1147518157959,444 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007016,Sin Visita,Elegible,18.3833940029144,-70.1147518157959,18.3833940029144-70.1147518157959,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000034934,,2.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000154589,154589,MINI MARKET EL COMPA,TULIO MANUEL CESTERO,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,HATILLO,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.42960358,-70.08687592,445 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007077,Sin Visita,Elegible,18.42960358,-70.08687592,18.42960358-70.08687592,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000154589,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000156708,156708,SUPER COLMADO F Y G,CARRETERA SANCHEZ VIEJA BAJANDO EL CERRO,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,SAINAGUÁ,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.3935,-70.1228,450 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005549,Ultima Aprobada,Elegible,18.39353478,-70.1227826,18.39353478-70.1227826,ELEGIBLE,NO,S,S1,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000156708,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000123008,123008,COLMADO JOSEFINA,PRINCIPAL,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,449,CECILIO RODRIGUEZ CORPORAN,CECILIO RODRIGUEZ CORPORAN,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4059651692708,-70.1403223673503,449 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007268,Ultima Aprobada,Elegible,18.45198229,-70.19284457,18.45198229-70.19284457,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000123008,,1.0,ARILEYSIS,Cargar
