CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,Bronce,SANTIAGO,ZONA NORTE,9000075260,75260,MINI MARKET POLANCO,CALLE PROYECTO,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS SALADOS,TRADICIONAL,311,BRAYAN ALVAREZ DOMINGUEZ,BRAYAN ALVAREZ DOMINGUEZ,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4923062324524,-70.7114086151123,311 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151020937,Ultima Aprobada,Elegible,19.49228112,-70.71137473,19.49228112-70.71137473,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,20.0,0.0,TITULAR,9000075260,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000126352,126352,COLMADO JOSELITO,C PRINCIPAL,DEYBI VARGAS,SANTIAGO,SANTIAGO,RAFEY,TRADICIONAL,320,YUNIOR ANTONIO GUZMAN LAMI,YUNIOR ANTONIO GUZMAN LAMI,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4655971527099,-70.7270255224609,320 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151033099,Sin Visita,Elegible,19.4655971527099,-70.7270255224609,19.4655971527099-70.7270255224609,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,28.0,0.0,TITULAR,9000126352,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SANTIAGO,ZONA NORTE,9000140473,140473,COLMADO ARIEL,CALLE 4 NUMERO 87 ENSANCHE ESPAILLAT,DEYBI VARGAS,SANTIAGO,SANTIAGO,ESPAILLAT,TRADICIONAL,352,SANCHEZ SOSA EDWIN,SANCHEZ SOSA EDWIN,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4818328,-70.7320314,352 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151035834,Sin Visita,Elegible,19.4818328,-70.7320314,19.4818328-70.7320314,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,25.0,0.0,TITULAR,9000140473,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000153803,153803,SUPER MINI MARKET ELVYN,C LOS MORAN LA CIENEGA STGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,LA CIÉNAGA,TRADICIONAL,311,BRAYAN ALVAREZ DOMINGUEZ,BRAYAN ALVAREZ DOMINGUEZ,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.49678099321438,-70.7203328330468,311 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151039101,Ultima Aprobada,Elegible,19.49677087,-70.72028831,19.49677087-70.72028831,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,23.0,0.0,TITULAR,9000153803,,2.0,MARTIN MARTINEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000159251,159251,D ENILY SUPER FRIA,CALLE GENEROSO DIAZ 63,DEYBI VARGAS,SANTIAGO,SANTIAGO,CECARA,TRADICIONAL,320,YUNIOR ANTONIO GUZMAN LAMI,YUNIOR ANTONIO GUZMAN LAMI,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.47296068181515,-70.70008363307727,320 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151040311,Ultima Aprobada,Elegible,19.473005,-70.70000333333334,19.473005-70.7000033333333,ELEGIBLE,NO,T,T PANEL,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,44.0,0.0,TITULAR,9000159251,,3.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000166645,166645,MINI MARKET FEFO,CARRETERA LA CIENAGA SECTOR PERLA PRECIOSA NO 8,DEYBI VARGAS,SANTIAGO,SANTIAGO,LA CIÉNAGA,TRADICIONAL,311,BRAYAN ALVAREZ DOMINGUEZ,BRAYAN ALVAREZ DOMINGUEZ,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.496354,-70.717566,311 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151041194,Sin Visita,Elegible,19.496354,-70.717566,19.496354-70.717566,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,22.0,0.0,TITULAR,9000166645,,2.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000018275,18275,F.F.V CONECTOR,ZONA FRANCA ALTO DE RAFEY,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,365,JULIO DE JESUS ARACENA AYBAR,JULIO DE JESUS ARACENA AYBAR,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4751710891724,-70.7310791015625,365 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151026080,Sin Visita,Elegible,19.4751710891724,-70.7310791015625,19.4751710891724-70.7310791015625,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,27.0,0.0,TITULAR,9000018275,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000129916,129916,COLMADO LA ECONOMIA 5,C 3 ESQ SIMON BOLIBAR,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,320,YUNIOR ANTONIO GUZMAN LAMI,YUNIOR ANTONIO GUZMAN LAMI,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4690742492675,-70.7053985595703,320 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151033891,Sin Visita,Elegible,19.4690742492675,-70.7053985595703,19.4690742492675-70.7053985595703,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,47.0,0.0,TITULAR,9000129916,,3.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000133312,133312,EL CUARTO FRIO,C MANUELA DIEZ ESQ  4 CAMBOYA,DEYBI VARGAS,SANTIAGO,SANTIAGO,CAMBOYA,TRADICIONAL,309,JUNIOR ALMANZAR,JUNIOR ALMANZAR,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.482744046541,-70.7062132177441,309 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151034556,Ultima Aprobada,Elegible,19.48274089,-70.70621981,19.48274089-70.70621981,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,51.0,0.0,TITULAR,9000133312,,3.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000023789,23789,LA ESQUINA DE CHICUE,C/ 2 #1 CLUB DOMINGO PAULINO LOS JARDINES,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,366,CHRISTHIAN MERCADO,CHRISTHIAN MERCADO,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4631128311157,-70.6907577514648,366 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151015452,Ultima Aprobada,Elegible,19.46311880730246,-70.6903854053704,19.4631188073025-70.6903854053704,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,40.0,0.0,TITULAR,9000023789,,3.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000154879,154879,MINI MARKET CARNICERIA EMANG,CARRETERA JACAGUA ESQUINA GUACO LOS CIRUELITO,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS CIRUELITOS,TRADICIONAL,320,YUNIOR ANTONIO GUZMAN LAMI,YUNIOR ANTONIO GUZMAN LAMI,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.48030008318125,-70.70951080421156,320 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151039356,Sin Visita,Elegible,19.48030008318125,-70.70951080421156,19.4803000831812-70.7095108042116,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,50.0,0.0,TITULAR,9000154879,,3.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000137120,137120,DON DIEGO SNACK,C JUAN PABLO DUARTE PLAZA BELLA TERRA MALL VILLA OLGA,DEYBI VARGAS,SANTIAGO,SANTIAGO,VILLA OLGA,C&B,366,CHRISTHIAN MERCADO,CHRISTHIAN MERCADO,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.458282,-70.684257,366 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151035233,Ultima Aprobada,Elegible,19.45841455441171,-70.68446436759733,19.4584145544117-70.6844643675973,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,42.0,0.0,TITULAR,9000137120,,3.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000154890,154890,RESTAURANTE MIRAWA,AV27 DE FEBRERO NUMERO 6 HOYA DEL CAIMITO,DEYBI VARGAS,SANTIAGO,SANTIAGO,HOYA DEL CAIMITO,C&B,366,CHRISTHIAN MERCADO,CHRISTHIAN MERCADO,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.46439098183106,-70.67015367588378,366 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151039363,Ultima Aprobada,Elegible,19.46443,-70.67013833333334,19.46443-70.6701383333333,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,43.0,0.0,TITULAR,9000154890,,3.0,MARTIN MARTINEZ,Cargar
