CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000011652,11652,CAFETERIA COLMADO NEISY,"C/RAMON MATIAS MELLA #165, VILLA MELLA.",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,C&B,402,YORKIS OLIVARES,YORKIS OLIVARES,CHRISTOPHER GONZALEZ,CHRISTOPHER GONZALEZ,18.554211086697,-69.8986036512587,402 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153003195,Ultima Aprobada,Elegible,18.5542326,-69.8985754,18.5542326-69.8985754,ELEGIBLE,NO,T,T,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,31.0,0.0,TITULAR,9000011652,,2.0,JEAN LUIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000016304,16304,SUPER COL MI PROPIO ESFUERZO,AV. HERMANAS MIRABAL PLAZA MAX. GOMEZ N.103,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,C&B,402,YORKIS OLIVARES,YORKIS OLIVARES,CHRISTOPHER GONZALEZ,CHRISTOPHER GONZALEZ,18.53451347,-69.90357208,402 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153011338,Sin Visita,Elegible,18.53451347,-69.90357208,18.53451347-69.90357208,ELEGIBLE,NO,T,T,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,4.0,0.0,TITULAR,9000016304,,1.0,JEAN LUIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000104220,104220,PICA POLLO FELIX,HERMANAS MIRABAL,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,C&B,402,YORKIS OLIVARES,YORKIS OLIVARES,CHRISTOPHER GONZALEZ,CHRISTOPHER GONZALEZ,18.5347309112549,-69.9068756103516,402 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153018846,Ultima Aprobada,Elegible,18.53471,-69.906935,18.53471-69.906935,ELEGIBLE,NO,T,T,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,5.0,0.0,TITULAR,9000104220,,1.0,JEAN LUIS,Cargar
